SubjID	OriobjNo	PicName	PairNo	RotateAng	FaceNo	RunNo	genRanNo	AllTrialNo	colchoice	RT
21	10	obj01.jpg	10	264	face06.jpg	1	1	1	256	18.24636671
21	11	obj10.jpg	11	288	face14.jpg	1	2	2	289	24.92256974
21	1	obj09.jpg	1	48	face13.jpg	1	7	3	51	13.71181027
21	8	obj07.jpg	7	192	face05.jpg	1	8	4	194	5.605622173
21	5	obj11.jpg	5	144	face11.jpg	1	12	5	164	15.91323836
21	12	obj06.jpg	11	288	face28.jpg	1	15	6	260	7.666037794
21	4	obj13.jpg	4	120	face09.jpg	1	16	7	109	8.687548753
21	8	obj07.jpg	8	216	face07.jpg	1	22	8	241	5.016636617
21	3	obj05.jpg	3	96	face22.jpg	1	24	9	111	6.274454634
21	6	obj08.jpg	6	168	face08.jpg	1	26	10	159	10.70201861
21	7	obj02.jpg	7	192	face25.jpg	1	27	11	188	4.022345749
21	3	obj05.jpg	4	120	face04.jpg	1	29	12	156	9.214778872
21	11	obj10.jpg	12	312	face24.jpg	1	32	13	315	10.59142571
21	9	obj04.jpg	10	264	face12.jpg	1	33	14	258	10.08564888
21	4	obj13.jpg	3	96	face18.jpg	1	34	15	130	5.527124003
21	10	obj01.jpg	9	240	face20.jpg	1	37	16	244	4.865338988
21	14	obj14.jpg	13	336	face10.jpg	1	38	17	57	15.26395261
21	9	obj04.jpg	9	240	face16.jpg	1	39	18	259	2.959435021
21	1	obj09.jpg	2	72	face23.jpg	1	42	19	21	4.109645098
21	5	obj11.jpg	6	168	face26.jpg	1	44	20	154	13.66386168
21	14	obj14.jpg	14	360	face17.jpg	1	45	21	16	6.969665254
21	13	obj03.jpg	13	336	face15.jpg	1	46	22	349	6.721147222
21	7	obj02.jpg	8	216	face19.jpg	1	47	23	234	2.400591148
21	2	obj12.jpg	1	48	face03.jpg	1	49	24	19	4.253698365
21	2	obj12.jpg	2	72	face01.jpg	1	51	25	98	3.497580527
21	12	obj06.jpg	12	312	face21.jpg	1	53	26	293	1.311784419
21	6	obj08.jpg	5	144	face02.jpg	1	54	27	120	4.242446262
21	13	obj03.jpg	14	360	face27.jpg	1	56	28	75	4.041220788
21	1	obj09.jpg	1	48	face13.jpg	2	3	29	29	3.167345252
21	12	obj06.jpg	11	288	face28.jpg	2	4	30	271	1.337102312
21	2	obj12.jpg	2	72	face01.jpg	2	5	31	122	1.933709281
21	10	obj01.jpg	9	240	face20.jpg	2	6	32	271	2.382081337
21	13	obj03.jpg	14	360	face27.jpg	2	9	33	37	6.605373161
21	5	obj11.jpg	6	168	face26.jpg	2	10	34	158	3.359542757
21	13	obj03.jpg	13	336	face15.jpg	2	11	35	30	4.897434644
21	7	obj02.jpg	8	216	face19.jpg	2	13	36	252	2.615522435
21	8	obj07.jpg	7	192	face05.jpg	2	14	37	197	4.271890391
21	6	obj08.jpg	5	144	face02.jpg	2	17	38	134	7.530077601
21	10	obj01.jpg	10	264	face06.jpg	2	18	39	245	5.786463776
21	9	obj04.jpg	10	264	face12.jpg	2	19	40	272	1.793217927
21	3	obj05.jpg	3	96	face22.jpg	2	20	41	123	4.396308376
21	8	obj07.jpg	8	216	face07.jpg	2	21	42	219	1.031199992
21	11	obj10.jpg	12	312	face24.jpg	2	23	43	290	5.104772276
21	1	obj09.jpg	2	72	face23.jpg	2	25	44	1	1.324399212
21	2	obj12.jpg	1	48	face03.jpg	2	28	45	113	3.155054982
21	5	obj11.jpg	5	144	face11.jpg	2	30	46	122	4.550844066
21	9	obj04.jpg	9	240	face16.jpg	2	31	47	247	4.553106022
21	4	obj13.jpg	4	120	face09.jpg	2	35	48	45	2.506607937
21	4	obj13.jpg	3	96	face18.jpg	2	36	49	105	2.202857764
21	14	obj14.jpg	13	336	face10.jpg	2	40	50	37	9.144572325
21	3	obj05.jpg	4	120	face04.jpg	2	41	51	102	11.58249724
21	12	obj06.jpg	12	312	face21.jpg	2	43	52	288	5.649730553
21	6	obj08.jpg	6	168	face08.jpg	2	48	53	166	5.236990773
21	7	obj02.jpg	7	192	face25.jpg	2	50	54	200	1.911300194
21	14	obj14.jpg	14	360	face17.jpg	2	52	55	57	5.426971718
21	11	obj10.jpg	11	288	face14.jpg	2	55	56	219	3.678812352